participant,group,item,type,clause,gap,condition,judgment,rt,proficiency
L1_05,L1_English,15,filler_null,na,na,null_subject,0,2.02519083,47
L1_05,L1_English,16,critical_wanna,1,2,b,0,0.672430038,47
L1_05,L1_English,16,filler_ellipsis,2,1,Gapping-C,1,0.454885006,47
L1_05,L1_English,16,filler_null,na,na,null_object,0,2.644567013,47
L1_05,L1_English,17,critical_wanna,2,1,c,0,0.822516918,47
L1_05,L1_English,17,filler_ellipsis,1,2,VPE-A,1,0.405327797,47
L1_05,L1_English,17,filler_null,na,na,no_null,1,0.623311043,47
L1_05,L1_English,18,critical_wanna,2,2,d,1,0.754777908,47
L1_05,L1_English,18,filler_ellipsis,2,2,Gapping-A,0,1.073251963,47
L1_05,L1_English,18,filler_null,na,na,null_subject,0,1.738384008,47
L1_05,L1_English,19,critical_wanna,1,1,a,1,0.97341013,47
L1_05,L1_English,19,filler_ellipsis,1,1,VPE-C,1,0.722272873,47
L1_05,L1_English,20,critical_wanna,1,2,b,0,1.378745079,47
L1_05,L1_English,20,filler_ellipsis,2,1,Gapping-C,1,0.518736124,47
L1_05,L1_English,21,filler_ellipsis,1,2,VPE-A,1,0.505481005,47
L1_05,L1_English,22,filler_ellipsis,2,2,Gapping-A,0,0.454483032,47
L1_05,L1_English,23,filler_ellipsis,1,1,VPE-C,1,0.355301142,47
L1_05,L1_English,24,filler_ellipsis,2,1,Gapping-C,1,1.303542137,47
L1_06,L1_English,1,critical_wanna,2,2,d,1,0.990139961,45
L1_06,L1_English,1,filler_ellipsis,2,2,Gapping-A,0,0.421843052,45
L1_06,L1_English,1,filler_null,na,na,null_object,0,1.124773979,45
L1_06,L1_English,1,filler_ungrammatical,na,na,na,0,1.256532907,45
L1_06,L1_English,2,critical_wanna,1,1,a,1,0.539053202,45
L1_06,L1_English,2,filler_ellipsis,1,1,VPE-C,1,0.438045979,45
L1_06,L1_English,2,filler_null,na,na,no_null,1,1.307281971,45
L1_06,L1_English,2,filler_ungrammatical,na,na,na,1,0.518466949,45
L1_06,L1_English,3,critical_wanna,1,2,b,0,1.874876022,45
L1_06,L1_English,3,filler_ellipsis,2,1,Gapping-C,1,3.780269861,45
L1_06,L1_English,3,filler_null,na,na,null_subject,1,0.488380909,45
L1_06,L1_English,3,filler_ungrammatical,na,na,na,0,4.265195131,45
L1_06,L1_English,4,critical_wanna,2,1,c,1,3.195120096,45
L1_06,L1_English,4,filler_ellipsis,1,2,VPE-A,1,0.405427933,45
L1_06,L1_English,4,filler_null,na,na,null_object,0,1.2406528,45
L1_06,L1_English,4,filler_ungrammatical,na,na,na,1,0.388247013,45
L1_06,L1_English,5,critical_wanna,2,2,d,1,0.472358942,45
L1_06,L1_English,5,filler_ellipsis,2,2,Gapping-A,0,2.273153067,45
L1_06,L1_English,5,filler_null,na,na,no_null,1,0.438485861,45
L1_06,L1_English,5,filler_ungrammatical,na,na,na,1,0.605015993,45
L1_06,L1_English,6,critical_wanna,1,1,a,1,5.067937851,45
L1_06,L1_English,6,filler_ellipsis,1,1,VPE-C,1,0.371124983,45
L1_06,L1_English,6,filler_null,na,na,null_subject,1,0.387648106,45
L1_06,L1_English,6,filler_ungrammatical,na,na,na,1,11.34747815,45
L1_06,L1_English,7,critical_wanna,1,2,b,0,7.106099129,45
L1_06,L1_English,7,filler_ellipsis,2,1,Gapping-C,1,0.501851082,45
L1_06,L1_English,7,filler_null,na,na,null_object,1,4.8324821,45
